addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80014EE8	8	func_80014EE8	low	0	void	1	0	0		leaf|gte
0x80014EF0	8	func_80014EF0	low	0	void	1	0	0		leaf|partial
0x80014EF8	8	func_80014EF8	low	0	u32	1	0	0		leaf
0x80014F00	8	func_80014F00	low	0	void	1	0	0		leaf
0x80014F08	8	func_80014F08	low	0	void	1	0	0		leaf|gte
0x80014F10	8	func_80014F10	low	0	void	1	0	0		leaf
0x80014F18	8	func_80014F18	low	0	void	1	0	0		leaf|gte
0x80014F20	8	func_80014F20	low	0	void	1	0	0		leaf|gte
0x80014F28	8	func_80014F28	low	0	void	1	0	0		leaf|gte
0x80014F30	8	func_80014F30	low	0	void	1	0	0		leaf|gte
0x80014F38	8	func_80014F38	low	0	void	1	0	0		leaf|gte
0x80014F40	8	func_80014F40	low	0	void	1	0	0		leaf|gte
0x80014F48	8	func_80014F48	low	0	void	1	0	0		leaf|gte
0x80014F50	8	func_80014F50	low	0	void	1	0	0		leaf|partial
0x80014F58	8	func_80014F58	low	0	u32	1	0	0		leaf|partial
0x80014F60	8	func_80014F60	low	0	void	1	0	0		leaf|gte
0x80014F68	8	func_80014F68	low	0	void	1	0	0		leaf|partial
0x80014F70	8	func_80014F70	low	0	u32	1	0	0		leaf|partial
0x80014F78	8	func_80014F78	low	0	void	1	0	0		leaf|gte
0x80014F80	8	func_80014F80	low	0	void	1	0	0		leaf|partial
0x80014F88	8	func_80014F88	low	0	u32	1	0	0		leaf
0x80014F90	8	func_80014F90	low	0	void	1	0	0		leaf
0x80014F98	8	func_80014F98	low	0	void	1	0	0		leaf|gte
0x80014FA0	8	func_80014FA0	low	0	void	1	0	0		leaf
0x80014FA8	8	func_80014FA8	low	0	void	1	0	0		leaf|gte
0x80014FB0	8	func_80014FB0	low	0	void	1	0	0		leaf|gte
0x80014FB8	8	func_80014FB8	low	0	void	1	0	0		leaf|gte
0x80014FC0	8	func_80014FC0	low	0	void	1	0	0		leaf|gte
0x80014FC8	8	func_80014FC8	low	0	void	1	0	0		leaf|gte
0x80014FD0	8	func_80014FD0	low	0	void	1	0	0		leaf|gte
0x80014FD8	8	func_80014FD8	low	0	void	1	0	0		leaf|partial
0x80014FE0	8	func_80014FE0	low	0	u32	1	0	0		leaf|partial
0x80014FE8	8	func_80014FE8	low	0	void	1	0	0		leaf|gte
0x80014FF0	8	func_80014FF0	low	0	void	1	0	0		leaf|partial
0x80014FF8	8	func_80014FF8	low	0	u32	1	0	0		leaf|partial
0x80015000	8	func_80015000	low	0	void	1	0	0		leaf|gte
0x80015008	8	func_80015008	low	0	void	1	0	0		leaf|partial
0x80015010	8	func_80015010	low	0	u32	1	0	0		leaf
0x80015018	8	func_80015018	low	0	void	1	0	0		leaf
0x80015020	8	func_80015020	low	0	void	1	0	0		leaf|gte
0x80015028	8	func_80015028	low	0	void	1	0	0		leaf
0x80015030	8	func_80015030	low	0	void	1	0	0		leaf|gte
0x80015038	8	func_80015038	low	0	void	1	0	0		leaf|gte
0x80015040	8	func_80015040	low	0	void	1	0	0		leaf|gte
0x80015048	8	func_80015048	low	0	void	1	0	0		leaf|gte
0x80015050	8	func_80015050	low	0	void	1	0	0		leaf|gte
0x80015058	8	func_80015058	low	0	void	1	0	0		leaf|gte
0x80015060	8	func_80015060	low	0	void	1	0	0		leaf|gte
0x80015068	8	func_80015068	low	0	void	1	0	0		leaf|gte
0x80015070	8	func_80015070	low	0	void	1	0	0		leaf|gte
0x80015078	8	func_80015078	low	0	void	1	0	0		leaf|partial
0x80015080	8	func_80015080	low	0	u32	1	0	0		leaf|partial
0x80015088	8	func_80015088	low	0	void	1	0	0		leaf|gte
0x80015090	8	func_80015090	low	0	void	1	0	0		leaf|partial
0x80015098	8	func_80015098	low	0	u32	1	0	0		leaf|partial
0x800150A0	8	func_800150A0	low	0	void	1	0	0		leaf|gte
0x800150A8	8	func_800150A8	low	0	void	1	0	0		leaf|partial
0x800150B0	8	func_800150B0	low	0	u32	1	0	0		leaf
0x800150B8	8	func_800150B8	low	0	void	1	0	0		leaf|partial
0x800150C0	8	func_800150C0	low	0	void	1	0	0		leaf|gte
0x800150C8	8	func_800150C8	low	0	void	1	0	0		leaf
0x800150D0	8	func_800150D0	low	0	void	1	0	0		leaf|gte
0x800150D8	8	func_800150D8	low	0	void	1	0	0		leaf|gte
0x800150E0	1192	func_800150E0	low	0	u32	1	0	0		leaf|gte|partial
0x80015588	16384	func_80015588	data	0	void	0	0	0		leaf|orphan
0x80019588	8	func_80019588	high	0	void	1	0	0		leaf
0x80019590	188	BootEntry	low	0	u32	0	2	0		break|gp
0x8001964C	56	func_8001964C	verified	0	void	1	4	24	ra	
0x80019684	1196	func_80019684	verified	4	u32	1	3	64	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	
0x80019B30	56	func_80019B30	high	0	u32	1	0	0		leaf
0x80019B68	280	func_80019B68	verified	0	u32	1	1	32	s0|s1|s2|ra	
0x80019C80	944	func_80019C80	verified	0	u32	1	23	56	s0|s1|s2|s3|ra	indirect
0x8001A030	340	func_8001A030	verified	0	u32	1	5	24	s0|ra	
0x8001A184	144	func_8001A184	verified	0	u32	1	5	24	s0|ra	
0x8001A214	100	func_8001A214	high	2	u32	1	0	0		leaf
0x8001A278	312	func_8001A278	high	1	u32	1	2	0	s0|ra	
0x8001A3B0	32	func_8001A3B0	verified	1	void	1	1	24	ra	
0x8001A3D0	44	func_8001A3D0	verified	0	u32	1	1	24	ra	
0x8001A3FC	676	func_8001A3FC	verified	4	u32	2	2	64	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	
0x8001A6A0	756	func_8001A6A0	verified	4	u32	2	2	72	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	
0x8001A994	68	func_8001A994	high	0	u32	1	0	0		leaf
0x8001A9D8	228	func_8001A9D8	high	1	u32	1	0	0		leaf
0x8001AABC	88	func_8001AABC	high	0	u32	2	2	0	ra	
0x8001AB14	396	func_8001AB14	verified	0	u32	1	1	32	s0|s1|ra	
0x8001ACA0	116	func_8001ACA0	high	0	u32	4	0	0		leaf
0x8001AD14	52	func_8001AD14	high	0	u32	4	0	0		leaf
0x8001AD48	32	func_8001AD48	high	0	u32	1	0	0		leaf
0x8001AD68	160	func_8001AD68	high	0	u32	4	1	0	s0|s1|s2|s3|ra	
0x8001AE08	32	func_8001AE08	high	3	u32	3	0	0		leaf
0x8001AE28	32	func_8001AE28	high	3	u32	1	0	0		leaf
0x8001AE48	584	func_8001AE48	verified	2	u32	6	5	40	s0|s1|s2|s3|s4|ra	
0x8001B090	40	func_8001B090	high	2	u32	1	0	0		leaf
